Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
wpn_freezegun_fire_plr,raw\sound\wpn\energy\freezegun\plr\shot_plr_fnt.wav.wav,wpn_freezegun_fire_rear,loaded,bus_fx,grp_weapon,snp_wpn_1p,,0,0,98,98,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,0,0,100,100,0.25,1,2d,wpn_all,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_fire_plr_last,raw\sound\wpn\energy\freezegun\plr\shot_plr_fnt.wav.wav,wpn_freezegun_flux_left,loaded,bus_fx,grp_weapon,snp_wpn_1p,,0,0,98,98,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,0,0,100,100,0.25,1,2d,wpn_all,nonlooping,,1,0,0,0,0,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_fire_rear,raw\sound\wpn\energy\freezegun\plr\shot_plr_rear.wav.wav,wpn_freezegun_flux_left,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,0,0,93,93,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,80,90,0.25,1,2d,wpn_rear,nonlooping,,1,200,0,0,0,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_fire_npc,raw\sound\wpn\energy\freezegun\npc\shot_npc.wav.wav,wpn_freezegun_flux_left,loaded,bus_fx,grp_weapon,snp_wpn_3p,,98,0,96,96,100,1550,2100,allon,default,default,rcurve1,1,3,oldest,oldest,0,0,80,90,0.25,1,3d,default,nonlooping,,1,0,50,300,93,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_fire_npc_last,raw\sound\wpn\energy\freezegun\npc\shot_npc.wav.wav,wpn_freezegun_flux_left,loaded,bus_fx,grp_weapon,snp_wpn_3p,,98,0,96,96,100,1550,2100,allon,default,default,rcurve1,1,3,oldest,oldest,0,0,80,90,0.25,1,3d,default,nonlooping,,1,0,50,300,93,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_flux_left,raw\sound\wpn\energy\freezegun\flux\flux_l.wav.wav,wpn_freezegun_flux_right,loaded,bus_fx,grp_explosion,snp_explosion,,98,0,98,100,150,2000,2000,allon,default,allon,default,2,3,priority,oldest,-182,195,75,85,0.25,1,3d,default,nonlooping,,1,0,25,75,86,0.4,no,no,left_shot,6000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_flux_right,raw\sound\wpn\energy\freezegun\flux\flux_r.wav.wav,,loaded,bus_fx,grp_explosion,snp_explosion,,98,0,98,100,150,2000,2000,allon,default,allon,default,2,3,priority,oldest,-175,200,75,85,0.25,1,3d,default,nonlooping,,1,50,25,75,86,0.4,no,no,right_shot,6000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_impact_zombie,raw\sound\wpn\energy\freezegun\projectile\impact\impact_00.wav.wav,wpn_freezegun_freeze_zombie,loaded,bus_fx,grp_weapon,snp_wpn_1p,,98,0,100,100,150,2500,2500,allon,rcurve1,allon,default,8,2,priority,oldest,-182,165,80,90,0.25,1,3d,front_mostly,nonlooping,,1,0,50,100,99,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_impact_zombie,raw\sound\wpn\energy\freezegun\projectile\impact\impact_01.wav.wav,wpn_freezegun_freeze_zombie,loaded,bus_fx,grp_weapon,snp_wpn_1p,,98,0,100,100,150,2500,2500,allon,rcurve1,allon,default,8,2,priority,oldest,-182,165,80,90,0.25,1,3d,front_mostly,nonlooping,,1,0,50,100,99,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_impact_zombie,raw\sound\wpn\energy\freezegun\projectile\impact\impact_02.wav.wav,wpn_freezegun_freeze_zombie,loaded,bus_fx,grp_weapon,snp_wpn_1p,,98,0,100,100,150,2500,2500,allon,rcurve1,allon,default,8,2,priority,oldest,-182,165,80,90,0.25,1,3d,front_mostly,nonlooping,,1,0,50,100,99,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_freezegun_impact_zombie,raw\sound\wpn\energy\freezegun\projectile\impact\impact_03.wav.wav,wpn_freezegun_freeze_zombie,loaded,bus_fx,grp_weapon,snp_wpn_1p,,98,0,100,100,150,2500,2500,allon,rcurve1,allon,default,8,2,priority,oldest,-182,165,80,90,0.25,1,3d,front_mostly,nonlooping,,1,0,50,100,99,0,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
